Group ID,Family,Channel,Product,Normalized Specification,Dosage Form,Current Retail Price,Price Display,Planned Catalog Status,Recommended Action,Selected Supplier,Quality / Regulatory Notes
GRP-0101,503A Clinical Formulations,Clinical / Provider Only,Methylcobalamin,METHYLCOBALAMIN 5MG/ML (10ML),Compounded Vial / Liquid,75,$75.00,Clinical formulation expansion,"Keep in the Care / Telemedicine pathway only. Review provider demand, state coverage, prescription workflow, BUD, and pharmacy terms before adding.",Optimal Balance Pharmacy,503A; sterile batches stated to undergo endotoxin and sterility testing; USP <797>/<800> statements in catalog
GRP-0102,503A Clinical Formulations,Clinical / Provider Only,Methylcobalamin,METHYLCOBALAMIN 5MG/ML (30ML),Compounded Vial / Liquid,162.5,$162.50,Clinical formulation expansion,"Keep in the Care / Telemedicine pathway only. Review provider demand, state coverage, prescription workflow, BUD, and pharmacy terms before adding.",Optimal Balance Pharmacy,503A; sterile batches stated to undergo endotoxin and sterility testing; USP <797>/<800> statements in catalog
GRP-0103,503A Clinical Formulations,Clinical / Provider Only,Methylene Blue,METHYLENE BLUE 10MG CAPSULE,Capsule,5,$5.00,New clinical formulary item,"Keep in the Care / Telemedicine pathway only. Review provider demand, state coverage, prescription workflow, BUD, and pharmacy terms before adding.",Optimal Balance Pharmacy,503A; sterile batches stated to undergo endotoxin and sterility testing; USP <797>/<800> statements in catalog
GRP-0104,503A Clinical Formulations,Clinical / Provider Only,Methylene Blue,METHYLENE BLUE 15MG CAPSULE,Capsule,5.625,$5.62,New clinical formulary item,"Keep in the Care / Telemedicine pathway only. Review provider demand, state coverage, prescription workflow, BUD, and pharmacy terms before adding.",Optimal Balance Pharmacy,503A; sterile batches stated to undergo endotoxin and sterility testing; USP <797>/<800> statements in catalog
GRP-0105,503A Clinical Formulations,Clinical / Provider Only,Methylene Blue,METHYLENE BLUE 25MG CAPSULE,Capsule,6.25,$6.25,New clinical formulary item,"Keep in the Care / Telemedicine pathway only. Review provider demand, state coverage, prescription workflow, BUD, and pharmacy terms before adding.",Optimal Balance Pharmacy,503A; sterile batches stated to undergo endotoxin and sterility testing; USP <797>/<800> statements in catalog
GRP-0106,503A Clinical Formulations,Clinical / Provider Only,Methylene Blue,METHYLENE BLUE 5MG CAPSULE,Capsule,4.375,$4.38,New clinical formulary item,"Keep in the Care / Telemedicine pathway only. Review provider demand, state coverage, prescription workflow, BUD, and pharmacy terms before adding.",Optimal Balance Pharmacy,503A; sterile batches stated to undergo endotoxin and sterility testing; USP <797>/<800> statements in catalog
GRP-0107,503A Clinical Formulations,Clinical / Provider Only,Methylene Blue Anti-Aging Cream (Methylene Blue,METHYLENE BLUE ANTI-AGING CREAM (METHYLENE BLUE 0.0064% / ESTRIOL 0.003%) 30GM,Topical Cream,125,$125.00,New clinical formulary item,"Keep in the Care / Telemedicine pathway only. Review provider demand, state coverage, prescription workflow, BUD, and pharmacy terms before adding.",Optimal Balance Pharmacy,503A; sterile batches stated to undergo endotoxin and sterility testing; USP <797>/<800> statements in catalog
GRP-0108,503A Clinical Formulations,Clinical / Provider Only,Minoxidil,MINOXIDIL 5% / AZELAIC ACID 12.5% / FINASTERIDE 0.1% / KETOCONAZOLE 2% SOLUTION 60ML,Solution,225,$225.00,New clinical formulary item,"Keep in the Care / Telemedicine pathway only. Review provider demand, state coverage, prescription workflow, BUD, and pharmacy terms before adding.",Optimal Balance Pharmacy,503A; sterile batches stated to undergo endotoxin and sterility testing; USP <797>/<800> statements in catalog
GRP-0109,503A Clinical Formulations,Clinical / Provider Only,Minoxidil,MINOXIDIL 5% / FINASTERIDE 0.1% SOLUTION 60ML,Solution,187.5,$187.50,New clinical formulary item,"Keep in the Care / Telemedicine pathway only. Review provider demand, state coverage, prescription workflow, BUD, and pharmacy terms before adding.",Optimal Balance Pharmacy,503A; sterile batches stated to undergo endotoxin and sterility testing; USP <797>/<800> statements in catalog
GRP-0110,503A Clinical Formulations,Clinical / Provider Only,Minoxidil,MINOXIDIL 5% / TRETINOIN 0.025% SOLUTION 60ML,Solution,187.5,$187.50,New clinical formulary item,"Keep in the Care / Telemedicine pathway only. Review provider demand, state coverage, prescription workflow, BUD, and pharmacy terms before adding.",Optimal Balance Pharmacy,503A; sterile batches stated to undergo endotoxin and sterility testing; USP <797>/<800> statements in catalog
GRP-0111,503A Clinical Formulations,Clinical / Provider Only,NAD+,NAD+ 100MG/ML (10ML),Compounded Vial / Liquid,250,$250.00,Clinical formulation expansion,"Keep in the Care / Telemedicine pathway only. Review provider demand, state coverage, prescription workflow, BUD, and pharmacy terms before adding.",Optimal Balance Pharmacy,503A; sterile batches stated to undergo endotoxin and sterility testing; USP <797>/<800> statements in catalog
GRP-0112,503A Clinical Formulations,Clinical / Provider Only,NAD+,NAD+ 10MG/0.1ML (15ML) NASAL SPRAY,Nasal Spray,300,$300.00,Clinical formulation expansion,"Keep in the Care / Telemedicine pathway only. Review provider demand, state coverage, prescription workflow, BUD, and pharmacy terms before adding.",Optimal Balance Pharmacy,503A; sterile batches stated to undergo endotoxin and sterility testing; USP <797>/<800> statements in catalog
GRP-0113,503A Clinical Formulations,Clinical / Provider Only,Nandrolone,NANDROLONE 200MG/ML GRAPE SEED OIL (10ML),Compounded Vial / Liquid,300,$300.00,Clinical formulation expansion,"Keep in the Care / Telemedicine pathway only. Review provider demand, state coverage, prescription workflow, BUD, and pharmacy terms before adding.",Optimal Balance Pharmacy,503A; sterile batches stated to undergo endotoxin and sterility testing; USP <797>/<800> statements in catalog
GRP-0114,503A Clinical Formulations,Clinical / Provider Only,Nandrolone,NANDROLONE 200MG/ML GRAPE SEED OIL (5ML),Compounded Vial / Liquid,150,$150.00,Clinical formulation expansion,"Keep in the Care / Telemedicine pathway only. Review provider demand, state coverage, prescription workflow, BUD, and pharmacy terms before adding.",Optimal Balance Pharmacy,503A; sterile batches stated to undergo endotoxin and sterility testing; USP <797>/<800> statements in catalog
GRP-0115,503A Clinical Formulations,Clinical / Provider Only,Ondansetron,ONDANSETRON 4MG ODT (ZOFRAN) 30 TABLETS (AntiNausea),ODT / Tablet,93.75,$93.75,New clinical formulary item,"Keep in the Care / Telemedicine pathway only. Review provider demand, state coverage, prescription workflow, BUD, and pharmacy terms before adding.",Optimal Balance Pharmacy,503A; sterile batches stated to undergo endotoxin and sterility testing; USP <797>/<800> statements in catalog
GRP-0116,503A Clinical Formulations,Clinical / Provider Only,Oxandrolone,OXANDROLONE 25MG CAPSULE,Capsule,5.625,$5.62,New clinical formulary item,"Keep in the Care / Telemedicine pathway only. Review provider demand, state coverage, prescription workflow, BUD, and pharmacy terms before adding.",Optimal Balance Pharmacy,503A; sterile batches stated to undergo endotoxin and sterility testing; USP <797>/<800> statements in catalog
GRP-0117,503A Clinical Formulations,Clinical / Provider Only,Oxandrolone,OXANDROLONE 50MG CAPSULE,Capsule,11.25,$11.25,New clinical formulary item,"Keep in the Care / Telemedicine pathway only. Review provider demand, state coverage, prescription workflow, BUD, and pharmacy terms before adding.",Optimal Balance Pharmacy,503A; sterile batches stated to undergo endotoxin and sterility testing; USP <797>/<800> statements in catalog
GRP-0118,503A Clinical Formulations,Clinical / Provider Only,Oxandrolone,OXANDROLONE 5MG CAPSULE,Capsule,3,$3.00,New clinical formulary item,"Keep in the Care / Telemedicine pathway only. Review provider demand, state coverage, prescription workflow, BUD, and pharmacy terms before adding.",Optimal Balance Pharmacy,503A; sterile batches stated to undergo endotoxin and sterility testing; USP <797>/<800> statements in catalog
GRP-0119,503A Clinical Formulations,Clinical / Provider Only,Oxymetholone,OXYMETHOLONE 25MG CAPSULE,Capsule,11.25,$11.25,New clinical formulary item,"Keep in the Care / Telemedicine pathway only. Review provider demand, state coverage, prescription workflow, BUD, and pharmacy terms before adding.",Optimal Balance Pharmacy,503A; sterile batches stated to undergo endotoxin and sterility testing; USP <797>/<800> statements in catalog
GRP-0120,503A Clinical Formulations,Clinical / Provider Only,Oxymetholone,OXYMETHOLONE 50MG CAPSULE,Capsule,15,$15.00,New clinical formulary item,"Keep in the Care / Telemedicine pathway only. Review provider demand, state coverage, prescription workflow, BUD, and pharmacy terms before adding.",Optimal Balance Pharmacy,503A; sterile batches stated to undergo endotoxin and sterility testing; USP <797>/<800> statements in catalog
GRP-0121,503A Clinical Formulations,Clinical / Provider Only,Oxytocin Nasal Spray,OXYTOCIN NASAL SPRAY 100 IU/ML (10ML),Nasal Spray,87.5,$87.50,Clinical formulation expansion,"Keep in the Care / Telemedicine pathway only. Review provider demand, state coverage, prescription workflow, BUD, and pharmacy terms before adding.",Optimal Balance Pharmacy,503A; sterile batches stated to undergo endotoxin and sterility testing; USP <797>/<800> statements in catalog
GRP-0122,503A Clinical Formulations,Clinical / Provider Only,Oxytocin Nasal Spray,OXYTOCIN NASAL SPRAY 100 IU/ML (15ML),Nasal Spray,87.5,$87.50,Clinical formulation expansion,"Keep in the Care / Telemedicine pathway only. Review provider demand, state coverage, prescription workflow, BUD, and pharmacy terms before adding.",Optimal Balance Pharmacy,503A; sterile batches stated to undergo endotoxin and sterility testing; USP <797>/<800> statements in catalog
GRP-0123,503A Clinical Formulations,Clinical / Provider Only,Oxytocin Troche,OXYTOCIN TROCHE 120 IU,Troche,10,$10.00,Clinical formulation expansion,"Keep in the Care / Telemedicine pathway only. Review provider demand, state coverage, prescription workflow, BUD, and pharmacy terms before adding.",Optimal Balance Pharmacy,503A; sterile batches stated to undergo endotoxin and sterility testing; USP <797>/<800> statements in catalog
GRP-0124,503A Clinical Formulations,Clinical / Provider Only,Oxytocin Troche,OXYTOCIN TROCHE 50 IU,Troche,10,$10.00,Clinical formulation expansion,"Keep in the Care / Telemedicine pathway only. Review provider demand, state coverage, prescription workflow, BUD, and pharmacy terms before adding.",Optimal Balance Pharmacy,503A; sterile batches stated to undergo endotoxin and sterility testing; USP <797>/<800> statements in catalog
GRP-0125,503A Clinical Formulations,Clinical / Provider Only,PT-141,PT-141 2MG/ML (5ML),Compounded Vial / Liquid,187.5,$187.50,Clinical formulation expansion,"Keep in the Care / Telemedicine pathway only. Review provider demand, state coverage, prescription workflow, BUD, and pharmacy terms before adding.",Optimal Balance Pharmacy,503A; sterile batches stated to undergo endotoxin and sterility testing; USP <797>/<800> statements in catalog
GRP-0126,503A Clinical Formulations,Clinical / Provider Only,PT-141 Nasal Spray,PT-141 NASAL SPRAY 2.5MG/SPRAY (3ML),Nasal Spray,247.5,$247.50,Clinical formulation expansion,"Keep in the Care / Telemedicine pathway only. Review provider demand, state coverage, prescription workflow, BUD, and pharmacy terms before adding.",Optimal Balance Pharmacy,503A; sterile batches stated to undergo endotoxin and sterility testing; USP <797>/<800> statements in catalog
GRP-0127,503A Clinical Formulations,Clinical / Provider Only,Peg-Mgf,PEG-MGF 0.4MG/ML (5ML),Compounded Vial / Liquid,250,$250.00,New clinical formulary item,"Keep in the Care / Telemedicine pathway only. Review provider demand, state coverage, prescription workflow, BUD, and pharmacy terms before adding.",Optimal Balance Pharmacy,503A; sterile batches stated to undergo endotoxin and sterility testing; USP <797>/<800> statements in catalog
GRP-0128,503A Clinical Formulations,Clinical / Provider Only,Phentermine HCl,PHENTERMINE HCL 15MG CAPSULE,Capsule,1.625,$1.62,New clinical formulary item,"Keep in the Care / Telemedicine pathway only. Review provider demand, state coverage, prescription workflow, BUD, and pharmacy terms before adding.",Optimal Balance Pharmacy,503A; sterile batches stated to undergo endotoxin and sterility testing; USP <797>/<800> statements in catalog
GRP-0129,503A Clinical Formulations,Clinical / Provider Only,Phentermine HCl,PHENTERMINE HCL 30MG CAPSULE,Capsule,1.625,$1.62,New clinical formulary item,"Keep in the Care / Telemedicine pathway only. Review provider demand, state coverage, prescription workflow, BUD, and pharmacy terms before adding.",Optimal Balance Pharmacy,503A; sterile batches stated to undergo endotoxin and sterility testing; USP <797>/<800> statements in catalog
GRP-0130,503A Clinical Formulations,Clinical / Provider Only,Phentermine HCl,PHENTERMINE HCL 45MG CAPSULE,Capsule,1.625,$1.62,New clinical formulary item,"Keep in the Care / Telemedicine pathway only. Review provider demand, state coverage, prescription workflow, BUD, and pharmacy terms before adding.",Optimal Balance Pharmacy,503A; sterile batches stated to undergo endotoxin and sterility testing; USP <797>/<800> statements in catalog
GRP-0131,503A Clinical Formulations,Clinical / Provider Only,Phentermine SR,PHENTERMINE SR 37.5MG CAPSULE,Capsule,1,$1.00,New clinical formulary item,"Keep in the Care / Telemedicine pathway only. Review provider demand, state coverage, prescription workflow, BUD, and pharmacy terms before adding.",Optimal Balance Pharmacy,503A; sterile batches stated to undergo endotoxin and sterility testing; USP <797>/<800> statements in catalog
GRP-0132,503A Clinical Formulations,Clinical / Provider Only,Phentermine SR,PHENTERMINE SR 45MG CAPSULE,Capsule,1.375,$1.38,New clinical formulary item,"Keep in the Care / Telemedicine pathway only. Review provider demand, state coverage, prescription workflow, BUD, and pharmacy terms before adding.",Optimal Balance Pharmacy,503A; sterile batches stated to undergo endotoxin and sterility testing; USP <797>/<800> statements in catalog
GRP-0133,503A Clinical Formulations,Clinical / Provider Only,Phenylephrine Inj,PHENYLEPHRINE INJ 0.1%,Injectable Solution,45,$45.00,New clinical formulary item,"Keep in the Care / Telemedicine pathway only. Review provider demand, state coverage, prescription workflow, BUD, and pharmacy terms before adding.",Optimal Balance Pharmacy,503A; sterile batches stated to undergo endotoxin and sterility testing; USP <797>/<800> statements in catalog
GRP-0134,503A Clinical Formulations,Clinical / Provider Only,Progesterone,PROGESTERONE 100MG SR CAPSULE,Capsule,1.375,$1.38,New clinical formulary item,"Keep in the Care / Telemedicine pathway only. Review provider demand, state coverage, prescription workflow, BUD, and pharmacy terms before adding.",Optimal Balance Pharmacy,503A; sterile batches stated to undergo endotoxin and sterility testing; USP <797>/<800> statements in catalog
GRP-0135,503A Clinical Formulations,Clinical / Provider Only,Progesterone,PROGESTERONE 125MG CAPSULE,Capsule,1.375,$1.38,New clinical formulary item,"Keep in the Care / Telemedicine pathway only. Review provider demand, state coverage, prescription workflow, BUD, and pharmacy terms before adding.",Optimal Balance Pharmacy,503A; sterile batches stated to undergo endotoxin and sterility testing; USP <797>/<800> statements in catalog
GRP-0136,503A Clinical Formulations,Clinical / Provider Only,Progesterone,PROGESTERONE 125MG SR CAPSULE,Capsule,1.375,$1.38,New clinical formulary item,"Keep in the Care / Telemedicine pathway only. Review provider demand, state coverage, prescription workflow, BUD, and pharmacy terms before adding.",Optimal Balance Pharmacy,503A; sterile batches stated to undergo endotoxin and sterility testing; USP <797>/<800> statements in catalog
GRP-0137,503A Clinical Formulations,Clinical / Provider Only,Progesterone,PROGESTERONE 150MG CAPSULE,Capsule,1.375,$1.38,New clinical formulary item,"Keep in the Care / Telemedicine pathway only. Review provider demand, state coverage, prescription workflow, BUD, and pharmacy terms before adding.",Optimal Balance Pharmacy,503A; sterile batches stated to undergo endotoxin and sterility testing; USP <797>/<800> statements in catalog
GRP-0138,503A Clinical Formulations,Clinical / Provider Only,Progesterone,PROGESTERONE 150MG SR CAPSULE,Capsule,1.375,$1.38,New clinical formulary item,"Keep in the Care / Telemedicine pathway only. Review provider demand, state coverage, prescription workflow, BUD, and pharmacy terms before adding.",Optimal Balance Pharmacy,503A; sterile batches stated to undergo endotoxin and sterility testing; USP <797>/<800> statements in catalog
GRP-0139,503A Clinical Formulations,Clinical / Provider Only,Progesterone,PROGESTERONE 175MG SR CAPSULE,Capsule,1.375,$1.38,New clinical formulary item,"Keep in the Care / Telemedicine pathway only. Review provider demand, state coverage, prescription workflow, BUD, and pharmacy terms before adding.",Optimal Balance Pharmacy,503A; sterile batches stated to undergo endotoxin and sterility testing; USP <797>/<800> statements in catalog
GRP-0140,503A Clinical Formulations,Clinical / Provider Only,Progesterone,PROGESTERONE 200MG SR CAPSULE,Capsule,1.375,$1.38,New clinical formulary item,"Keep in the Care / Telemedicine pathway only. Review provider demand, state coverage, prescription workflow, BUD, and pharmacy terms before adding.",Optimal Balance Pharmacy,503A; sterile batches stated to undergo endotoxin and sterility testing; USP <797>/<800> statements in catalog
GRP-0141,503A Clinical Formulations,Clinical / Provider Only,Progesterone,PROGESTERONE 200MG/ML CREAM,Topical Cream,87.5,$87.50,New clinical formulary item,"Keep in the Care / Telemedicine pathway only. Review provider demand, state coverage, prescription workflow, BUD, and pharmacy terms before adding.",Optimal Balance Pharmacy,503A; sterile batches stated to undergo endotoxin and sterility testing; USP <797>/<800> statements in catalog
GRP-0142,503A Clinical Formulations,Clinical / Provider Only,Progesterone,PROGESTERONE 225MG SR CAPSULE,Capsule,1.375,$1.38,New clinical formulary item,"Keep in the Care / Telemedicine pathway only. Review provider demand, state coverage, prescription workflow, BUD, and pharmacy terms before adding.",Optimal Balance Pharmacy,503A; sterile batches stated to undergo endotoxin and sterility testing; USP <797>/<800> statements in catalog
GRP-0143,503A Clinical Formulations,Clinical / Provider Only,Progesterone,PROGESTERONE 250MG CAPSULE,Capsule,1.875,$1.88,New clinical formulary item,"Keep in the Care / Telemedicine pathway only. Review provider demand, state coverage, prescription workflow, BUD, and pharmacy terms before adding.",Optimal Balance Pharmacy,503A; sterile batches stated to undergo endotoxin and sterility testing; USP <797>/<800> statements in catalog
GRP-0144,503A Clinical Formulations,Clinical / Provider Only,Progesterone,PROGESTERONE 250MG SR CAPSULE,Capsule,1.875,$1.88,New clinical formulary item,"Keep in the Care / Telemedicine pathway only. Review provider demand, state coverage, prescription workflow, BUD, and pharmacy terms before adding.",Optimal Balance Pharmacy,503A; sterile batches stated to undergo endotoxin and sterility testing; USP <797>/<800> statements in catalog
GRP-0145,503A Clinical Formulations,Clinical / Provider Only,Progesterone,PROGESTERONE 250MG/ML CREAM,Topical Cream,87.5,$87.50,New clinical formulary item,"Keep in the Care / Telemedicine pathway only. Review provider demand, state coverage, prescription workflow, BUD, and pharmacy terms before adding.",Optimal Balance Pharmacy,503A; sterile batches stated to undergo endotoxin and sterility testing; USP <797>/<800> statements in catalog
GRP-0146,503A Clinical Formulations,Clinical / Provider Only,Progesterone,PROGESTERONE 25MG CAPSULE,Capsule,1.375,$1.38,New clinical formulary item,"Keep in the Care / Telemedicine pathway only. Review provider demand, state coverage, prescription workflow, BUD, and pharmacy terms before adding.",Optimal Balance Pharmacy,503A; sterile batches stated to undergo endotoxin and sterility testing; USP <797>/<800> statements in catalog
GRP-0147,503A Clinical Formulations,Clinical / Provider Only,Progesterone,PROGESTERONE 25MG SR CAPSULE,Capsule,1.375,$1.38,New clinical formulary item,"Keep in the Care / Telemedicine pathway only. Review provider demand, state coverage, prescription workflow, BUD, and pharmacy terms before adding.",Optimal Balance Pharmacy,503A; sterile batches stated to undergo endotoxin and sterility testing; USP <797>/<800> statements in catalog
GRP-0148,503A Clinical Formulations,Clinical / Provider Only,Progesterone,PROGESTERONE 300MG CAPSULE,Capsule,2.5,$2.50,New clinical formulary item,"Keep in the Care / Telemedicine pathway only. Review provider demand, state coverage, prescription workflow, BUD, and pharmacy terms before adding.",Optimal Balance Pharmacy,503A; sterile batches stated to undergo endotoxin and sterility testing; USP <797>/<800> statements in catalog
GRP-0149,503A Clinical Formulations,Clinical / Provider Only,Progesterone,PROGESTERONE 300MG SR CAPSULE,Capsule,2.5,$2.50,New clinical formulary item,"Keep in the Care / Telemedicine pathway only. Review provider demand, state coverage, prescription workflow, BUD, and pharmacy terms before adding.",Optimal Balance Pharmacy,503A; sterile batches stated to undergo endotoxin and sterility testing; USP <797>/<800> statements in catalog
GRP-0150,503A Clinical Formulations,Clinical / Provider Only,Progesterone,PROGESTERONE 50MG CAPSULE,Capsule,1.375,$1.38,New clinical formulary item,"Keep in the Care / Telemedicine pathway only. Review provider demand, state coverage, prescription workflow, BUD, and pharmacy terms before adding.",Optimal Balance Pharmacy,503A; sterile batches stated to undergo endotoxin and sterility testing; USP <797>/<800> statements in catalog
GRP-0151,503A Clinical Formulations,Clinical / Provider Only,Progesterone,PROGESTERONE 50MG SR CAPSULE,Capsule,1.375,$1.38,New clinical formulary item,"Keep in the Care / Telemedicine pathway only. Review provider demand, state coverage, prescription workflow, BUD, and pharmacy terms before adding.",Optimal Balance Pharmacy,503A; sterile batches stated to undergo endotoxin and sterility testing; USP <797>/<800> statements in catalog
GRP-0152,503A Clinical Formulations,Clinical / Provider Only,Progesterone,PROGESTERONE 50MG/ML CREAM,Topical Cream,69.375,$69.38,New clinical formulary item,"Keep in the Care / Telemedicine pathway only. Review provider demand, state coverage, prescription workflow, BUD, and pharmacy terms before adding.",Optimal Balance Pharmacy,503A; sterile batches stated to undergo endotoxin and sterility testing; USP <797>/<800> statements in catalog
GRP-0153,503A Clinical Formulations,Clinical / Provider Only,Progesterone,PROGESTERONE 75MG CAPSULE,Capsule,1.375,$1.38,New clinical formulary item,"Keep in the Care / Telemedicine pathway only. Review provider demand, state coverage, prescription workflow, BUD, and pharmacy terms before adding.",Optimal Balance Pharmacy,503A; sterile batches stated to undergo endotoxin and sterility testing; USP <797>/<800> statements in catalog
GRP-0154,503A Clinical Formulations,Clinical / Provider Only,Progesterone,PROGESTERONE 75MG SR CAPSULE,Capsule,1.375,$1.38,New clinical formulary item,"Keep in the Care / Telemedicine pathway only. Review provider demand, state coverage, prescription workflow, BUD, and pharmacy terms before adding.",Optimal Balance Pharmacy,503A; sterile batches stated to undergo endotoxin and sterility testing; USP <797>/<800> statements in catalog
GRP-0155,503A Clinical Formulations,Clinical / Provider Only,SLU-PP-332,SLU-PP-332 250MCG PER CAPSULE,Capsule,7.5,$7.50,Clinical formulation expansion,"Keep in the Care / Telemedicine pathway only. Review provider demand, state coverage, prescription workflow, BUD, and pharmacy terms before adding.",Optimal Balance Pharmacy,503A; sterile batches stated to undergo endotoxin and sterility testing; USP <797>/<800> statements in catalog
GRP-0156,503A Clinical Formulations,Clinical / Provider Only,SLU-PP-332 + Bam 15 Capsule,SLU-PP-332/BAM 15 CAPSULE 100MCG/15MG PER CAPSULE,Capsule,8.75,$8.75,New clinical formulary item,"Keep in the Care / Telemedicine pathway only. Review provider demand, state coverage, prescription workflow, BUD, and pharmacy terms before adding.",Optimal Balance Pharmacy,503A; sterile batches stated to undergo endotoxin and sterility testing; USP <797>/<800> statements in catalog
GRP-0157,503A Clinical Formulations,Clinical / Provider Only,Semaglutide + B12,SEMAGLUTIDE/B12 0.6MG-500MCG/ML (2ML) (1.2mg vial),Compounded Vial / Liquid,150,$150.00,Clinical formulation expansion,"Keep in the Care / Telemedicine pathway only. Review provider demand, state coverage, prescription workflow, BUD, and pharmacy terms before adding.",Optimal Balance Pharmacy,503A; sterile batches stated to undergo endotoxin and sterility testing; USP <797>/<800> statements in catalog
GRP-0158,503A Clinical Formulations,Clinical / Provider Only,Semaglutide + B12,SEMAGLUTIDE/B12 1.2MG-500MCG/ML (2ML) (2.4mg vial),Compounded Vial / Liquid,187.5,$187.50,Clinical formulation expansion,"Keep in the Care / Telemedicine pathway only. Review provider demand, state coverage, prescription workflow, BUD, and pharmacy terms before adding.",Optimal Balance Pharmacy,503A; sterile batches stated to undergo endotoxin and sterility testing; USP <797>/<800> statements in catalog
GRP-0159,503A Clinical Formulations,Clinical / Provider Only,Semaglutide + B12,SEMAGLUTIDE/B12 10MG-500MCG/ML (3ML) (30mg vial),Compounded Vial / Liquid,750,$750.00,Clinical formulation expansion,"Keep in the Care / Telemedicine pathway only. Review provider demand, state coverage, prescription workflow, BUD, and pharmacy terms before adding.",Optimal Balance Pharmacy,503A; sterile batches stated to undergo endotoxin and sterility testing; USP <797>/<800> statements in catalog
GRP-0160,503A Clinical Formulations,Clinical / Provider Only,Semaglutide + B12,SEMAGLUTIDE/B12 2.2MG-500MCG/ML (2ML) (4.4mg vial),Compounded Vial / Liquid,225,$225.00,Clinical formulation expansion,"Keep in the Care / Telemedicine pathway only. Review provider demand, state coverage, prescription workflow, BUD, and pharmacy terms before adding.",Optimal Balance Pharmacy,503A; sterile batches stated to undergo endotoxin and sterility testing; USP <797>/<800> statements in catalog
GRP-0161,503A Clinical Formulations,Clinical / Provider Only,Semaglutide + B12,SEMAGLUTIDE/B12 2.5MG-500MCG/ML (5ML) (12.5mg vial),Compounded Vial / Liquid,375,$375.00,Clinical formulation expansion,"Keep in the Care / Telemedicine pathway only. Review provider demand, state coverage, prescription workflow, BUD, and pharmacy terms before adding.",Optimal Balance Pharmacy,503A; sterile batches stated to undergo endotoxin and sterility testing; USP <797>/<800> statements in catalog
GRP-0162,503A Clinical Formulations,Clinical / Provider Only,Semaglutide + B12,SEMAGLUTIDE/B12 3.4MG-500MCG/ML (2ML) (6.8mg vial),Compounded Vial / Liquid,312.5,$312.50,Clinical formulation expansion,"Keep in the Care / Telemedicine pathway only. Review provider demand, state coverage, prescription workflow, BUD, and pharmacy terms before adding.",Optimal Balance Pharmacy,503A; sterile batches stated to undergo endotoxin and sterility testing; USP <797>/<800> statements in catalog
GRP-0163,503A Clinical Formulations,Clinical / Provider Only,Semaglutide + B12,SEMAGLUTIDE/B12 4.1MG-500MCG/ML (2ML) (8.2mg vial),Compounded Vial / Liquid,375,$375.00,Clinical formulation expansion,"Keep in the Care / Telemedicine pathway only. Review provider demand, state coverage, prescription workflow, BUD, and pharmacy terms before adding.",Optimal Balance Pharmacy,503A; sterile batches stated to undergo endotoxin and sterility testing; USP <797>/<800> statements in catalog
GRP-0164,503A Clinical Formulations,Clinical / Provider Only,Semaglutide + B12,SEMAGLUTIDE/B12 5.6MG-500MCG/ML (2ML) (11.2mg vial),Compounded Vial / Liquid,437.5,$437.50,Clinical formulation expansion,"Keep in the Care / Telemedicine pathway only. Review provider demand, state coverage, prescription workflow, BUD, and pharmacy terms before adding.",Optimal Balance Pharmacy,503A; sterile batches stated to undergo endotoxin and sterility testing; USP <797>/<800> statements in catalog
GRP-0165,503A Clinical Formulations,Clinical / Provider Only,Semaglutide + B12,SEMAGLUTIDE/B12 5MG-500MCG/ML (3ML) (15mg vial),Compounded Vial / Liquid,475,$475.00,Clinical formulation expansion,"Keep in the Care / Telemedicine pathway only. Review provider demand, state coverage, prescription workflow, BUD, and pharmacy terms before adding.",Optimal Balance Pharmacy,503A; sterile batches stated to undergo endotoxin and sterility testing; USP <797>/<800> statements in catalog
GRP-0166,503A Clinical Formulations,Clinical / Provider Only,Semaglutide + B12,SEMAGLUTIDE/B12 5MG-500MCG/ML (4ML) (20mg vial),Compounded Vial / Liquid,625,$625.00,Clinical formulation expansion,"Keep in the Care / Telemedicine pathway only. Review provider demand, state coverage, prescription workflow, BUD, and pharmacy terms before adding.",Optimal Balance Pharmacy,503A; sterile batches stated to undergo endotoxin and sterility testing; USP <797>/<800> statements in catalog
GRP-0167,503A Clinical Formulations,Clinical / Provider Only,Semaglutide + Glycine,SEMAGLUTIDE/ GLYCINE 5MG-2.5MG/ML (2ML) (10mg vial),Compounded Vial / Liquid,437.5,$437.50,Clinical formulation expansion,"Keep in the Care / Telemedicine pathway only. Review provider demand, state coverage, prescription workflow, BUD, and pharmacy terms before adding.",Optimal Balance Pharmacy,503A; sterile batches stated to undergo endotoxin and sterility testing; USP <797>/<800> statements in catalog
GRP-0168,503A Clinical Formulations,Clinical / Provider Only,Semaglutide + Glycine,SEMAGLUTIDE/ GLYCINE 5MG-2.5MG/ML (6ML) (30mg vial),Compounded Vial / Liquid,1062.5,"$1,062.50",Clinical formulation expansion,"Keep in the Care / Telemedicine pathway only. Review provider demand, state coverage, prescription workflow, BUD, and pharmacy terms before adding.",Optimal Balance Pharmacy,503A; sterile batches stated to undergo endotoxin and sterility testing; USP <797>/<800> statements in catalog
